uuid,description,color,price,cc3,sparkling,floral,striped,description_proc,escription_proc_len
05091_UzLFdwamWrbU8JrqvCocR9P8,"NEMĚNÍM, ale můžete platit platnými STRAVENKAMI a FLEXI PASSY!!!

*Aktualne delam velkou cistku vseho co vlastnim, razantne redukuji nadmerne mnozstvi mych osobnich veci a uvolnuji prostor. Nabizim veci nosene, ale i nove ci zcela nove s visackou, ktere jsem nemela sanci vynosit.*

Znacka: Lindex, jejich drazsi lepsi kolekce Holly & Whyte

Vec: Paisley saty s kasmirovym vzorem. Idealni na jarni a letni dny. Jsou dechberouci, nevahejte!

Stav: Zcela nove, nenosene, vcetne visacky s cenou 1399 Kc. Velmi vhodne jako darek. Osobne nevyuziji. 

Velikost: Oznacena velikost M odpovida, jinymi slovy 38 – 40. Odnimatelny pasek v pasek na zavazani. 

Barva: Oranzova, smisena, krasny potisk

Material: 100% polyester, podsivka: 100% polyester 

*Platba platnými STRAVENKAMI a FLEXI PASSY možná.* 

*Neměním* Na dobírku nezasílám. 

*Zaslání poštou po předem obdržené platbě a dle ceníku České pošty (doporučené psaní 70 Kč, doporučený balík velikosti S 99 Kč, balík M 119 Kč atd.) 

*PREFERUJI možnost výhodnějšího zaslání přes Zásilkovnu za 65 Kč (balík do 5 kg).

*Osobní vyzvednutí možné na Praze 10-Zahradní Město.

#lindex #hollyandwhyte #holly_and_whyte #saty #paisley #kasmirovyvzor #skasmirovymvzorem #oranzove #vesele #pestre #velikostM #velM #vel38 #vel40 #velikost38 #velikost40 #nove",ORANGE,19.411099999999998,DRESSES,False,False,False,neměním můžete platit platnými stravenkami flexi passi aktualn delam velkou cistku vseho vlastnim razantn redukuji nadmern mnozstvi mych osobnich veci uvolnuji prostor nabizim veci nosen nove zcela nove visackou ktere nemela sanci vynosit znacka lindex drazsi lepsi kolekc holli whyte paisley sati kasmirovym vzorem idealni jarni letni dechberouci nevahejt stav zcela nove nenosen vcetn visacki cenou velmi vhodn jako darek osobn nevyuziji velikost oznacena velikost odpovida jinymi slovi odnimatelni pasek pasek zavazani barva oranzova smisena krasni potisk materi polyest podsivka polyest platba platnými stravenkami flexi passi neměním dobírku nezasílám zaslání poštou předem obdržené platbě ceníku české pošti doporučené psaní doporučený balík velikosti balík preferuji možnost výhodnějšího zaslání zásilkovnu balík osobní vyzvednutí možné praze zahradní město lindex hollyandwhyt holly_and_whyt sati paisley kasmirovyvzor skasmirovymvzorem oranzov vesel pestr velikostm velm velikost velikost nove,130
00_06108_enJAvk15AspL18R84AtCHQKH,"brand new without tags never worn 
bright blue skinny jeans 
by select 
size 12 
beautiful condition and quality 
RRP£30 ",BLUE,6.0,TROUSERS,False,False,False,brand without tag never worn bright blue skinni jean select size beauti condit qualiti,14
05c9c_KXyK46sfmvj3Dan6ECaY2zCw,"🧸VINTAGE MOSCHINO TROUSERS🧸

designer vintage moschino jeans black trousers with frilled pale pink lining on leg and pockets. Flared trouser and a mid rise waist. From the early 2000s as told by the label. Features “moschino” tag on right leg and “moschino” labelled buttons on two front pockets.

made from 97% cotton, made in Romania and is a uk women’s size 12 however is tight on me and I’m an 8.

🦋 Shown on a size 8 who is 5ft 2. 🦋
🍒flaws: 🍒
🦋 message for international shipping 🦋
measurements (rough) : 
- waist length  30 inches
- leg width 9 inches 
- leg length 40 inches 

Tags : adidas vintage sportswear urban girls swapper cute blue outfit festival leisurewear  new look
",BLACK,12.0,TROUSERS,False,False,False,vintag moschino trouser design vintag moschino jean black trouser frill pale pink line pocket flare trouser rise waist earli told label featur moschino right moschino label button front pocket made cotton made romania women size howev tight shown size flaw messag intern ship measur rough waist length inch width inch length inch tag adida vintag sportswear urban girl swapper cute blue outfit festiv leisurewear look,65
00_066a5_QApesNbKwoMesUinjhhrwkyU,soft and sexy top,BLACK,7.6,PULLOVERS_SWEATERS,False,False,True,soft sexi,2
05346_cSBJyGX1ymEqtAEEoeZgnTxc,"-size small and from Charlotte Russe! in perfect condition, no flaws :) strapless , thin material and perfect for summer ! zips in back ",WHITE,7.6,DRESSES,False,True,False,size small charlott russ perfect condit flaw strapless thin materi perfect summer zip back,14
00_0536e_TrbXnzctktRp9ijUVbTE9KYd,"Green  print 💜Gathered sweetheart neckline 💜3/4 length sleeves 💜96% Viscose, 4% Elastane 💜pictures don’t do the tunic enough justice would be lovely with leggings  💜 few creases on tunic  

# #green  #tunic  #brandnewwithtags #size14",GREEN,15.588,DRESSES,False,True,False,green print gather sweetheart necklin length sleev viscos elastan pictur tunic enough justic love leg creas tunic green tunic brandnewwithtag size,21
00_06c4a_sGchczmLvLxHBYB9hA9uKkEv,"Absolutely beautiful maxi skirt.
Elasticated waist, perfect for summer evenings. No labels, bit fits 10/12
Very flattering and bang on trend.
Grab a bargain! ",VARIOUS,6.0,SKIRTS,False,True,False,absolut beauti maxi skirt elast waist perfect summer even label fit flatter bang trend grab bargain,16
00_0692c_suH24vJEFKcGrVVAPZ6du9Cw,"Sukně je vzatá párkrát, bohužel vzadu jsem musela zašít, ale při nošení to není viditelné. Má vyšší pas, je pruhovaná",GREEN,9.6861,SKIRTS,True,False,True,sukně vzatá párkrát vzadu musela zašít nošení viditelné vyšší pruhovaná,10
00_0599b_oLHUrT3iSmUos6DMNBFTGt1k,"• Zara Woman
• Black & Cream
• Beautiful Paisley print
• Mini 
• A-line
• Skirt
• Size XS (please see the pictures for exact measurements)
• Back zipper
• Beautiful skirt for any occasion- dress is up with heels or wear for a brunch with a cute pair of flats
• Great condition- no known flaws

• bundle and save
• please read Closet Guidelines before purchasing 🌷",CREAM,19.0,SKIRTS,False,False,False,zara woman black cream beauti paisley print mini line skirt size pleas pictur exact measur back zipper beauti skirt occas dress heel wear brunch cute pair flat great condit known flaw bundl save pleas read closet guidelin purchas,38
00_06b0e_S3UkJgmGVnVWRVgXgu1vSmM9,Visiskai naujas dzinsinis sarafanas dzinsas tvirtas bet nera storas.su kisenemis .per krūtinę 53cm visas ilgis 102 nematuoju petnesu su jomis galima reguliuoti ilgį kokį norite.modelis tiesus .tikrai tiks jei devite 42_40 dydžius,BLUE,22.0,DRESSES,False,False,False,visiskai nauja dzinsini sarafana dzinsa tvirta nera stora kisenemi krūtinę visa ilgi nematuoju petnesu jomi galima reguliuoti ilgį kokį norit mode tiesus tikrai tik devit dydžius,26
063e3_ESYEytbTCDHbGUumkXNivpib,"Size 8 | Only worn once | Perfect condition | Message me with any questions or make me an offer⭐️


#summer #holiday # #smart #casual",VARIOUS,9.0,SKIRTS,False,True,False,size worn perfect condit messag question make offer summer holiday smart casual,12
05486_67PYuYfAuKinSvnkN3cCio4Q,brand new high waist denim shorts ,BLUE,7.199999999999999,SHORTS_CAPRIS,False,False,False,brand high waist denim short,5
00_057b5_BzL64bMFdnFESYf7PLjoXpEa,"TU @ Sainsbury’s beige and white  linen trousers.
Belted,wide legged.
Brand new without tags.
From a smoke and pet free home.
Please check out my other items! ",BODY,7.199999999999999,TROUSERS,False,False,True,sainsburi beig white linen trouser belt wide leg brand without tag smoke free home pleas check item,17
05431_A5z2kvw8JZaBbHWDpCXFFdiC,"bundle and save! cute  design, blue and white stripes. never worn! 

# #forever21 #skirt ",BLUE,2.2800000000000002,SKIRTS,False,True,False,bundl save cute design blue white stripe never worn forev skirt,11
00_06f19_4wornqQAQSbG4vrhDN8kuRub,"-great condition, one pant’s inside seam is coming out
-still looks great easy to pin up
-fun  pattern",BLUE,2.2800000000000002,TROUSERS,False,False,True,great condit pant insid seam come still look great easi pattern,11
00_06559_sWEn252cqCrjgutyEaawzCp1,"Hollister shorts
W27/ size 5
good condition ",BLUE,3.8,SHORTS_CAPRIS,False,False,False,hollist short size good condit,5
00_0583d_ecZuyX71b92v1BECJJWDgsoK,"leather look jeans 
molly style in river island 
14S 
brand new with tags
please select the Royal Mail option for postage 
",BLACK,12.0,TROUSERS,False,False,False,leather look jean molli style river island brand tag pleas select royal mail option postag,15
00_07451_j3WTR9BDqjpATY78qWtf5Kce,paprastos timpos rainos gal 1 karta užsidėtos o gėlėtos 3-4 kartus kaina už abi ,VARIOUS,2.0,TROUSERS,False,True,False,paprasto timpo raino karta užsidėto gėlėtos kartus kaina,8
07161_F67rP9xMo2Dpn714eB1xgZvK,"dlouhe ke kotnikum pri vysce 170 cm, jako nove, pruzici, velikost S-M, zavazovaci za krk",BLACK,21.395,DRESSES,False,False,False,dlouh kotnikum vysc jako nove pruzici velikost zavazovaci,8
00_0726a_duwFrZcQvsa27EbDWj2ufPPa,"cropped flare pants
size XS",WHITE,6.08,TROUSERS,False,False,True,crop flare pant size,4
00_06fe4_vmxbPSths8suBS3tNU4es53A,b1825 Cato M  skirt #txbunny1,BLACK,2.85,SKIRTS,False,True,False,cato skirt txbunni,3
00_053da_wnJdmJs7RzR8BgXHLtsVK82s,Jeans 3/4 hezká modrá pas 88 úzké nohavice,BLUE,3.501,SHORTS_CAPRIS,False,False,False,jean hezká modrá úzké nohavic,5
00_07399_kNwKHeXQccHmQcVsBUonLyBq,"Beautiful pink Laura Ashley  skirt , lovely pattern and material, in great condition. 
Send me offers !",PINK,7.199999999999999,SKIRTS,False,True,False,beauti pink laura ashley skirt love pattern materi great condit send offer,12
07203_ncxxhwZEERH1MMWEHsyP8fVm,Perfect with jeans or dress it up with a skirt or pinafore ,CORAL,9.6,PULLOVERS_SWEATERS,False,False,False,perfect jean dress skirt pinafor,5
00_06018_PV3FP6FWKDnF7rVuECfx3MGE,"Next firmos. Visiškai naujos su etikete, minkštos, tamprios 5% elastano. Audinys primena minkštą džinsą. ",BLUE,6.0,TROUSERS,False,False,False,next firmo visiškai naujo etiket minkšto tamprio elastano audini primena minkštą džinsą,12
00_06265_TXEvztyH25GQw6azXLYqixUn,"Geros būklės treningiukai. Dydis M. Spalvytė realiausia paskutinej nuotraukoj(labiau pilka, nei juoda) ",GREY,4.0,TROUSERS,False,True,False,gero būklės treningiukai dydi spalvytė realiausia paskutinej nuotraukoj labiau pilka juoda,11
06a8c_QnnUcPBqViwK85X5PYEm9NDA,"Tamsus dzinsiniai sortai su sagutemis sone.
Viena sagute pabraizyta.
Dydi raso L , bet labiau atitinka M.",BLUE,3.0,SHORTS_CAPRIS,False,False,False,tamsus dzinsiniai sortai sagutemi sone viena sagut pabraizyta dydi raso labiau atitinka,12
00_06b53_SZBZ8CX8q22TzFGnfXTNW96H,red/burgundy skinny jeans ,RED,7.199999999999999,TROUSERS,False,False,False,burgundi skinni jean,3
00_07020_KtCAeRGkhW6o69KNYdMcrAzQ,"Luxusní bílé 7/8 kalhoty Guess jeans

Extra pružný materiál, příjemný na léto 
Vel. 26 / S 

Pc 99euro / 2600,- 

Nošené,  stav zohledňený v nízké ceně, barva bílá 

#luxus #styl #dnesnosim #fashion #guess #guessjeans #bilekalhoty #leto #dnesnosim #trendy #summer #hot #luxury ",WHITE,13.576099999999999,TROUSERS,False,False,False,luxusní bílé kalhoti guess jean extra pružný materiál příjemný léto euro nošené stav zohledňený nízké ceně barva bílá luxus styl dnesnosim fashion guess guessjean bilekalhoti leto dnesnosim trendi summer luxuri,30
00_056fc_QPEbTY2GCdTMy519X22UFPxD,beach shorts loungewear shorts,VARIOUS,3.5999999999999996,SHORTS_CAPRIS,False,True,False,beach short loungewear short,4
00_07128_bcBUjLHVZ7MPQ1MbwA9cDe5G,"Dámská mikina Tommy jeans, velikost uvedena S, odpovídá M. Běžné známky nošení, avšak krásný stav.",BLACK,22.950999999999997,PULLOVERS_SWEATERS,False,False,False,dámská mikina tommi jean velikost uvedena odpovídá běžné známki nošení avšak krásný stav,13
00_070c0_W5GUmu6ixioBxAv9rX4E5qbT,size 12 perfect condition no defects never worn,BLACK,9.6,SKIRTS,False,False,False,size perfect condit defect never worn,6
00_0642d_qMYtYJPz1rT3WCcJwymSsX6m,size uk 12 from primark worn a few times ,BLUE,12.0,SHORTS_CAPRIS,False,False,False,size primark worn time,4
00_06dd4_CVZVRXYvGEQkjwjNZeUiFceM,"#mėlynosspalvos #dzinsiniai #promod #sortai #šortai_vasarai

Šiek tiek žemintas juosmuo.
Defektų nėra. ",BLUE,2.5,SHORTS_CAPRIS,False,False,False,mėlynosspalvo dzinsiniai promod sortai šortai_vasarai šiek tiek žeminta juosmuo defektų nėra,11
00_06bc0_JnVS42mNs3WcB6fEE3n13y9D,"Satin like fabric, ties at the waist. Been worn once- white mark on the front but is a fault in the fabric not a stain. Size S. Slighty cropped ",BLACK,1.44,TROUSERS,False,False,True,satin like fabric tie waist worn white mark front fault fabric stain size slighti crop,15
00_0620e_TAWgo6cVaztG45dv58TX498J,"-great condition
-denim
-denim fabric and ruffles
-straight fit",BLUE,7.6,DRESSES,False,False,False,great condit denim denim fabric ruffl straight,7
00_0516b_mMwqn23tP1i3i5CQy3LL8fK2,Worn a couple times no flaws ,BLUE,3.04,DRESSES,False,True,False,worn coupl time flaw,4
00_053ea_XiLr4DCooSHazZsvnFS2krxq,"Very good pre owned condition
Black and blue with a geometrical  print
Hoop belt
Flare cuffs
Polyester spandex blend
Size PM

Measurements with the garment laying flat

13"" waist
29"" inseam
38"" outseam
12"" front rise
22"" hips
12"" leg openings",BLACK,15.2,TROUSERS,False,False,True,good own condit black blue geometr print hoop belt flare cuff polyest spandex blend size measur garment lay flat waist inseam outseam front rise hip open,26
00_06c70_yyeSKRAf4RjfD8AL3kcT9Q1H,"Very flattering fit ,would fit  6 - 8",BLUE,4.8,SHORTS_CAPRIS,False,False,False,flatter,1
00_0741b_KNLqm9biQgiC1LzKz1YGNRnW,"never worn so condition is great 
very lightweight and cute summer dress 
has a zip on the side.
straps are elastic 
",BLACK,16.8,DRESSES,False,True,False,never worn condit great lightweight cute summer dress side strap elast,11
04e29_XTYvd95dZWPzWs9zqntWq4r8,"nėra antros sagutes, o šiaip kelnes geros",WHITE,6.0,TROUSERS,False,False,True,nėra antro sagut šiaip keln gero,6
00_061eb_1pXgp8NCRFAPwVysS7xUcKSS,"New, washed never wore 
Size XLarge
Blue sheer  print, kimono style
Can tie in the front or wear open
Bell Sleeves
100% Polyester
#fireflystang",RED,11.4,PULLOVERS_SWEATERS,False,True,False,wash never wore size xlarg blue sheer print kimono style front wear open bell sleev polyest fireflystang,17
00_06346_ZpoorA2LzAxtwiVyPujkZZSF,cute with jeans,BLUE,4.5600000000000005,PULLOVERS_SWEATERS,False,False,False,cute jean,2
00_04e75_Ghe6swxpXzHp79Cia7vY1Ufv,"UK size 24 from Simply Be. Gorgeous dress, getting rid as I have worn it to one to many special occasions now. It has flute/bell sleeves, the top material is a pink mesh with  print and it has a black under dress. V-neck, neckline. Great condition.

Due to full time working I am currently only posting Wednesday and Saturdays (mainly Saturdays) Please be aware of this before ordering.

See my other listings for more clothing of a similar size! Bundle deals are active, save money on clothing and multiple item shipping!",PINK,30.0,DRESSES,False,True,False,size simpli gorgeous dress get worn mani special occas flute bell sleev materi pink mesh print black dress neck necklin great condit full time work current post wednesday saturday main saturday pleas awar order list cloth similar size bundl deal activ save money cloth multipl item ship,47
0610b_1T2Ciz3hsLdPtr7JdZKoKiBC,"only worn once 😊💚 very comfy


newlook, #newlooksummertrousers, #summerpants, #partyleggings, #party, #flurocent, #bright, #brightcolors, #patterned, #goingoutleggings, #clubbingleggins, #casual, #trousers, #cocktail, #heels, #leggings, #bottoms, #trousers, #,#workclothes, #worktrousers, #summer, #summertrousers, #patterned, #jeans, #jeggings, #floaty, #fullength, #red, #black, #discount, #bundle, #greyleggings, #cotton, #tiestring, #pretty, #summerclothes, #size8, #size8leggings, #gymleggings, #size8jeans",BLUE,4.788,TROUSERS,False,False,True,worn comfi newlook newlooksummertrous summerp partyleg parti fluroc bright brightcolor pattern goingoutleg clubbingleggin casual trouser cocktail heel leg bottom trouser workcloth worktrous summer summertrous pattern jean jeg floati fullength black discount bundl greyleg cotton tiestr pretti summercloth size size leg gymleg size jean,43
00_06b86_jFn4Wa2CnjFtiaQF7Cwg7yWH,"never worn, stunning and true to size and perfect for summer ",BLACK,6.0,DRESSES,False,True,False,never worn stun true size perfect summer,7
05dcb_Qk3n13PjTH8PDsYWgCDnhdZz,"cute mini  dress
",CREAM,11.4,DRESSES,False,True,False,cute mini dress,3
00_065bc_ZtwBmHzuxbe68FfPPM6vC7GN,"I’m unsure if the correct size but would say it’s a size 8

waist - 12 in

waistband to hem -  29 in

silky tyre of fabric",PINK,6.0,SKIRTS,False,True,False,unsur correct size size waist waistband silki tyre fabric,9
00_05af4_AApbCw4m49DwXtqdzFxpYDgL,"light pink jeans have been worn a couple of times .
",PINK,12.0,TROUSERS,False,False,False,light pink jean worn coupl time,6
00_073ca_cbSP11qSC3AopNptEbUvMe6J,new with tags,PINK,4.8,DRESSES,False,True,False,tag,1
06229_QMLwLiGJFoB49HSEXXu7Exrn,"cute long tie waist vest! I love wearing it with jeans and a long sleeve to have another small layer and pockets 😁 can be worn year round!
",GREEN,3.8,PULLOVERS_SWEATERS,False,False,False,cute long waist vest love wear jean long sleev anoth small layer pocket worn year round,16
00_053cb_Ri1vdQDaNi7h1dj3dSXr3KYE,"Armani Jeans suknele, krutine 50 , ilgis 96. S-M",GREEN,30.0,DRESSES,False,False,False,armani jean suknel krutin ilgi,5
00_073ef_ySd7F7NRBHQeZdJuS8Xk3prA,Eva Mendes kolekcijos rūbas. gali būti dėvimas tiek su ganėtinai gilia iškirpte kaip vienas rūbas arba kaip megztukas ant kažko. subtiliai blizga. ,BLACK,30.0,PULLOVERS_SWEATERS,True,False,True,mend kolekcijo rūbas gali būti dėvima tiek ganėtinai gilia iškirpt kaip viena rūbas arba kaip megztuka kažko subtiliai blizga,19
00_05eb4_N2WWRZYNTL1WgSSJ6d84g8VZ,"Párkrát nošeno, 100% stav. Veganská kůže.",BLACK,23.34,TROUSERS,True,False,False,párkrát nošeno stav veganská kůže,5
00_058c4_EYs8xNzoUGdkggcTp2C4VHBK," print chiffon kimono top with lace trim.
Worn a few times, good condition.
UK 10.
",BODY,6.0,PULLOVERS_SWEATERS,False,True,False,print chiffon kimono lace trim worn time good condit,9
00_05473_4DajMhoZ5TiGkweVAhJDcxt5,"- dark wash denim
- i have distressed these to make them more interesting, originally they were full-length jeans 
- size 4

measurements
inseam - 3.5”
rise - 8”
waist - 14”",BLUE,6.08,SHORTS_CAPRIS,False,False,False,dark wash denim distress make interest origin full length jean size measur inseam rise waist,15
00_06fcf_z4Y8E8FUaWjBnVXQVW5xMEYk,"never worn with no tags
size 16 distressed denim shorts - would look good on size 14 too
very very soft denim - super comfortable
#summerwear #denimshorts ",BLACK,4.8,SHORTS_CAPRIS,False,False,False,never worn tag size distress denim short look good size soft denim super comfort summerwear denimshort,16
06815_D5D9h2HzPSnD24whcdoRW43S,"Brand new with tag. RRP: £69.99

Flowy fabric
Double layer
Metallic thread detail
Shiny finish
Straight design
V-neck
Sleeveless

100% polyester. Lining: 100% polyester",BLACK,30.0,DRESSES,True,False,False,brand flowi fabric doubl layer metal thread detail shini finish straight design neck sleeveless polyest line polyest,17
04fb4_bv7FRuzaub2Wpzn32vfdhbXu,"High waisted primark denim shorts, lovely condition as only worn a couple of times. ",BLUE,3.0,SHORTS_CAPRIS,False,False,False,high waist primark denim short love condit worn coupl time,10
00_05ce1_7UYBJke2JdFK7N76WesR61Xv,"worn few times, no damages, size S",NAVY,18.0,SKIRTS,False,False,False,worn time damag size,4
00_06f78_JEdWe2RwiJjykLNhBGP7zzQS,"Size 8 , worn but good condition.

(Lindsey)

Bin 40.",BLACK,3.8,TROUSERS,False,False,True,size worn good condit lindsey,5
00_0742a_UKjw3daYsow5v8hHuNfJ1uih,"all designed by French Laundry except one pair designed by one step up
hippie surfer boho vibe
paisley & 
all size small unbelievably soft and nwt 
all capris or 7/8’s
fits like 4 -6",BLUE,22.04,TROUSERS,False,True,False,design french laundri except pair design step hippi surfer boho vibe paisley size small unbeliev soft capri fit like,19
0609d_4spgN3NoWxjKsSEVdHDBhH41,Preloved and in good condition White House Black Market Taper Ankle Cropped  Pants Size 10 Regular. No known flaws. Faux Pockets.,BLACK,9.88,TROUSERS,False,False,True,prelov good condit white hous black market taper ankl crop pant size regular known flaw faux pocket,17
00_05c89_MaqyuL8qRkf2ufRDU6YKnz1a,"Size 26/2 
Adorable black denim slightly ripped shorts from Abercrombie! Barely worn and in great condition! Smoke free home :)",BLACK,9.120000000000001,SHORTS_CAPRIS,False,False,False,size ador black denim slight rip short abercrombi bare worn great condit smoke free home,15
06085_mJSXXFNFfdPN5q63Q2QixFR1,"T-shirt dress

Perfect condition
 graphic on top of black and white  dress",BLACK,5.7,DRESSES,False,True,True,shirt dress perfect condit graphic black white dress,8
0557e_WMhvst7oBvdpgemneYuECqS7,"Stilingi, plėšyti džinsiniai šortai. ",BLUE,4.0,SHORTS_CAPRIS,False,False,False,stilingi plėšyti džinsiniai šortai,4
052f8_aCPyjp4qz5tru8HGxmis8kmf,"Medvilnė. Mažai devėtas, blizgus.",GREY,10.0,PULLOVERS_SWEATERS,True,False,False,medvilnė mažai devėta blizgus,4
07083_kE9RwDfK42xZUR4n3sif5Rqu,"Pale pink denim crops size 16 with an 18"" waist 11"" rise and and 18"" inseam runs true to size no flaws",ROSE,1.52,TROUSERS,False,False,False,pale pink denim crop size waist rise inseam run true size flaw,12
00_0610f_sCatgbWHeeqxBZ5X2DAUZ4JH,"flysinis dryžuotas džemperis. flysas nesusivėlęs, puikios būklės.",RED,7.0,PULLOVERS_SWEATERS,False,False,True,flysini dryžuota džemperi flysa nesusivėlę puikio būklės,7
07500_gpuxBEFpKpsVwUG7B7cZNYrY,"NWT Size 11 pretty pink  shorts 

*Bundle & save*
*Make me an offer*
☆Items listed are on other sites to be sold. Don't wait to buy! :)
*Smoke & Pet free home",PINK,6.84,SHORTS_CAPRIS,False,True,False,size pretti pink short bundl save make offer item list site sold wait smoke free home,16
00_0728f_gLtYFzEzqTJb3H828AYyXeME,"♻️Thank you for choosing to treasure hunt with me💚

⚠️: slight discoloration shown on knees not as noticeable in person more shows up from shadowing. 

#️⃣: #black #white #chevron #patterned #zobha #active #leggings #zipper #pocket 
#50percentoffbundles 

Minimize results by setting your size filters & searching or clicking: #Vedalovebelle 

🌜Message for any additional questions🌛",BLACK,16.72,TROUSERS,False,False,False,thank choos treasur hunt slight discolor shown knee notic person show shadow black white chevron pattern zobha activ leg zipper pocket percentoffbundl minim result set size filter search click vedalovebell messag addit question,33
00_06259_W9EHFQw1FhPVBq3j5y5f8Avt,"Never been worn 
 
Main colour black
Pull on
Inside legs is 29 inches 
Trousers length is 42 inches
Polyester. Lightweight 
Make label has been removed. ",BLACK,6.8999999999999995,TROUSERS,False,False,True,never worn main colour black pull insid leg inch trouser length inch polyest lightweight make label remov,17
052d3_ZHwzBcUjqS3XiLYVByKyxrmk,pretty skirt ,GREY,3.5999999999999996,SKIRTS,False,False,False,pretti skirt,2
